colors
"[""all made up"", ""cream can"", ""lapland"", ""pine grove"", ""nautical gray"", ""seashore dreams"", ""cornwallis red"", ""key largo"", ""keppel"", ""denim light"", ""whiskey sour"", ""silver chain"", ""orange zest"", ""pink swirl"", ""mochachino"", ""seedling"", ""drum solo"", ""solitary tree"", ""leather work"", ""garden promenade""]"
"[""bronze green"", ""onion"", ""just a fairytale"", ""beautiful dream"", ""serenade"", ""boudoir"", ""lavender memory"", ""gem turquoise"", ""cabbage pont"", ""hallowed hush"", ""clam chowder"", ""rembrandt ruby"", ""roycroft vellum"", ""pure essence"", ""dodie yellow"", ""grass"", ""dartmouth green"", ""lisbon brown"", ""wild aster"", ""heartbeat""]"
"[""spiced apple cider"", ""ogre odor"", ""navajo red"", ""tuscan brown"", ""cosmic quest"", ""gumdrop"", ""tasmanian sea"", ""calligraphy"", ""dreamscape gray"", ""informal ivory"", ""blue veil"", ""purple agate"", ""wheat"", ""lavender lipstick"", ""mystic harbor"", ""conifer"", ""new house white"", ""lime green"", ""academy purple"", ""brazilian rainforest""]"
"[""paris white"", ""white rock"", ""raffia cream"", ""encore"", ""new hunter"", ""roast coffee"", ""sunflower fields"", ""french mauve"", ""coriander"", ""mint chocolate chip"", ""colorful leaves"", ""frosty melon"", ""peachy confection"", ""pencil sketch"", ""ultra white"", ""cream cloak"", ""kitsilano beach"", ""knitting needles"", ""summer white"", ""cranberry zing""]"
"[""vigorous violet"", ""light sandstone"", ""antigua aqua"", ""byte blue"", ""love at first sight"", ""china ivory"", ""grounded"", ""sweet molasses"", ""rose marquee"", ""golden fleece"", ""emergency zone"", ""bright light blue"", ""wild grapes"", ""bright lime"", ""neutral green"", ""white opulence"", ""lakeside pine"", ""baby green"", ""charlton brown"", ""dark tan""]"
"[""pale chamois"", ""quiver tan"", ""candy drop"", ""spanish galleon"", ""dark khaki"", ""hiking path"", ""sorcerer"", ""vanilla cone"", ""iron ore red"", ""blue reflection"", ""pink raspberry"", ""light mulberry"", ""cole stone"", ""rhapsody lilac"", ""deep lilac"", ""bayberry"", ""bermuda teal"", ""mysteria"", ""pier"", ""new car""]"
"[""tangaroa"", ""desaturated cyan"", ""garden rose white"", ""greenfield pumpkin"", ""flowery"", ""pale mauve"", ""raw sienna"", ""newport green"", ""irish green"", ""daisy"", ""november skies"", ""cadet grey"", ""orange soda"", ""tequila lime"", ""curry"", ""narcissus"", ""sour candy"", ""finley blue"", ""lancaster whitewash"", ""sweet midori""]"
"[""gazebo gray"", ""brilliant blue"", ""toucan black"", ""aqua marine"", ""coral rock"", ""very navy"", ""beach glass"", ""new providence navy"", ""mallard green"", ""nature surrounds"", ""tangerine mist"", ""anchor gray"", ""mustard"", ""sweet innocence"", ""downing straw"", ""fresh day"", ""sonoran desert"", ""renwick golden oak"", ""pristine petal"", ""butternut""]"
"[""cinnamon crunch"", ""shell ginger"", ""aztec"", ""serene peach"", ""aloe plant"", ""sunset"", ""rosa"", ""grassy meadows"", ""cashmere"", ""butter up"", ""java"", ""impromptu"", ""supreme green"", ""drip"", ""careys pink"", ""nantucket breeze"", ""oatmeal"", ""grape hyacinth"", ""lunar light"", ""gingersnaps""]"
"[""spring meadow"", ""gaucho brown"", ""kurkuma"", ""toasted marshmallow"", ""privileged elite"", ""special gray"", ""shy violet"", ""leisure time"", ""paper white"", ""greenwich village"", ""sterling forest"", ""rose sachet"", ""lanyard"", ""chalk white"", ""himalayan mist"", ""sidewalk gray"", ""sweet grass"", ""champagne cocktail"", ""coventry gray"", ""shallow sea""]"
"[""green mist"", ""dried chamomile"", ""malibu"", ""cayman blue"", ""turbo"", ""ripe fig"", ""durazno maduro"", ""gentle blush"", ""hearthstone brown"", ""fern"", ""juicy fig"", ""pickled bluewood"", ""dream i can fly"", ""white wisp"", ""grape purple"", ""venetian marble"", ""chocolate brown"", ""spray"", ""moody black"", ""monticello peach""]"
"[""yellow marigold"", ""niagara falls"", ""rose reflection"", ""fireweed"", ""thulian pink"", ""tiara"", ""peacock blue"", ""lemon yellow"", ""emerald green"", ""sundew"", ""surf blue"", ""caribbean mist"", ""california hills"", ""fort sumner tan"", ""jadite"", ""plum dandy"", ""forward fuschia"", ""roycroft bronze green"", ""whitened sage"", ""friendship""]"
"[""autumn glow"", ""chinese silver"", ""electric ultramarine"", ""booger green"", ""ipanema"", ""stratos"", ""powder blush"", ""polo tan"", ""luminaire"", ""drab green"", ""seville tan"", ""hannah banana"", ""treasures"", ""new roof"", ""southwest stone"", ""north creek brown"", ""arbor hollow"", ""duke blue"", ""athenian green"", ""amaranth purple""]"
"[""dry sage"", ""dodger blue"", ""arts and crafts"", ""richmond bisque"", ""carbon copy"", ""aero"", ""pale grey"", ""chicago blues"", ""baby spinach"", ""sauvignon"", ""spice"", ""perfectly pesto"", ""vivid burgundy"", ""summer crush"", ""burgundy"", ""glamour"", ""cadmium orange"", ""oxide"", ""roycroft adobe"", ""passive""]"
"[""iced cube silver"", ""green amazons"", ""rose linen"", ""pale lime"", ""grey pink"", ""parisian taupe"", ""sand dunes"", ""sweet pea"", ""pastel china"", ""wisp pink"", ""mocha latte"", ""paris daisy"", ""deep sky blue"", ""backdrop"", ""snow angel"", ""taste of berry"", ""leprechaun"", ""full bloom"", ""cork"", ""shell brook""]"
"[""icicle mint"", ""desert view"", ""creamy"", ""black berry"", ""bravo blue"", ""black mocha"", ""love always"", ""green charm"", ""lilac bisque"", ""freshwater"", ""pottery red"", ""american cheese"", ""russian violet"", ""dry pasture"", ""cup of tea"", ""north sea"", ""raleigh green"", ""fall foliage"", ""chestnut bisque"", ""lemon""]"
"[""autumn haze"", ""new chestnut"", ""sandstone cliff"", ""rococo gold"", ""orangish"", ""bean  "", ""aster"", ""lavender purple"", ""cioccolato"", ""parkside dunes"", ""soft sunrise"", ""secluded beach"", ""swept away"", ""rose tan"", ""temptress"", ""morning tea"", ""cotton seed"", ""grape gum"", ""summer sunshine"", ""dainty apricot""]"
"[""upbeat"", ""heron"", ""warm ash"", ""shadow green"", ""oriental iris"", ""aegean blue"", ""jacko bean"", ""kelly green"", ""persian gold"", ""bright teal"", ""bright citrus"", ""cayman bay"", ""kirsch red"", ""velvet curtain"", ""country squire"", ""oat cake"", ""antique fuchsia"", ""canvas"", ""ellie gray"", ""pinedale shores""]"
"[""sweet dreams"", ""lily pads"", ""perfect landing"", ""leaf green"", ""santa clara"", ""day at the beach"", ""dark pastel blue"", ""voodoo"", ""jumbo"", ""summer bloom"", ""cavern pink"", ""earthenware"", ""elote"", ""nocturnal gray"", ""piss yellow"", ""tangerine dream"", ""tomato slices"", ""jocular green"", ""peach nectar"", ""fuchsia""]"
"[""cool jazz"", ""reddish grey"", ""cactus garden"", ""grappa"", ""cork wedge"", ""extra white"", ""christmas yellow"", ""rustic tobacco"", ""cocoa craving"", ""faded red"", ""chocolate mousse"", ""gerbera daisy"", ""admiral blue"", ""threshold taupe"", ""whisper"", ""fair pink"", ""pencil point"", ""spring frost"", ""chilled chardonnay"", ""carriage ride""]"
"[""pewter mug"", ""breath of fresh air"", ""dalila"", ""mandy"", ""dark scarlet"", ""amazon moss"", ""pavillion beige"", ""very pale orange"", ""hibiscus"", ""prelude to pink"", ""fools gold"", ""aths special"", ""cay"", ""royal blue"", ""burnt yellow"", ""light grey"", ""toasty"", ""metallic seaweed"", ""spearmint ice"", ""persian rose""]"
"[""smokestack"", ""debutante ball"", ""shingle fawn"", ""magnolia"", ""relaxed blue"", ""nugget"", ""white raisin"", ""boca raton blue"", ""high style beige"", ""forest rain"", ""purple essence"", ""chocolate pudding"", ""pale lavender"", ""terra cotta clay"", ""mobster"", ""scarlet"", ""cattail"", ""barley"", ""baroness"", ""rumors""]"
"[""metallic orange"", ""vivid tangerine"", ""barely pink"", ""shamrock"", ""ibis white"", ""pewter"", ""khaki green"", ""grape creme"", ""oxford gray"", ""pinky swear"", ""high drama"", ""electric slide"", ""carrot stick"", ""herbal escape"", ""ocean dream"", ""fairway oaks"", ""era"", ""elmira white"", ""lynch"", ""indian white""]"
"[""mansfield tan"", ""seafoam spray"", ""appleblossom"", ""purple gladiola"", ""little princess"", ""windy sky"", ""mesa tan"", ""moonlight white"", ""driftscape tan"", ""peach damask"", ""talipot palm"", ""paper lantern"", ""charlotte slate"", ""royal yellow"", ""night music"", ""thermal spring"", ""truepenny"", ""ash brown"", ""georgetown pink beige"", ""plush velvet""]"
"[""bossa nova"", ""bella blue"", ""wind fresh white"", ""barrett brick"", ""sunshine on the bay"", ""wild porcini"", ""skyscraper"", ""tropical breeze"", ""lucerne"", ""creekside green"", ""midnight in the tropics"", ""lightish green"", ""coconut"", ""surfie green"", ""desert caravan"", ""seared gray"", ""pumpkin blush"", ""middle purple"", ""endless sky"", ""autumn malt""]"
"[""maximum red"", ""jade dragon"", ""garden plum"", ""ballet rose"", ""autumn gold"", ""autumn orange"", ""clinton brown"", ""sour apple"", ""morning sky"", ""twilight zone"", ""lavender indigo"", ""coco malt"", ""regal"", ""electric blue"", ""bleached denim"", ""maximum blue"", ""turkish coffee"", ""mocha madness"", ""courtyard"", ""emerging taupe""]"
"[""beachcrest sand"", ""baked scone"", ""dark navy"", ""dried chive"", ""bayberry frost"", ""upper eastside"", ""mainsail"", ""starlet pink"", ""lipstick red"", ""springtime bloom"", ""raindance"", ""blue romance"", ""angel kiss"", ""warm tan"", ""red devil"", ""brilliant lavender"", ""cotton white"", ""true copper"", ""peach sachet"", ""sandy white""]"
"[""chatelle"", ""crisp romaine"", ""beachside drive"", ""silver pink"", ""buckram binding"", ""death by chocolate"", ""traditional leather"", ""rich pewter"", ""lounge green"", ""van courtland blue"", ""peach mimosa"", ""tonic"", ""cabernet"", ""barley white"", ""starry night blue"", ""liaison"", ""garland"", ""balmy"", ""thousand islands"", ""blue fir""]"
"[""ochre"", ""superior bronze"", ""polished pearl"", ""greyblue"", ""race car stripe"", ""grenadine"", ""desert night"", ""roycroft bottle green"", ""fruit salad"", ""smokey topaz"", ""old mauve"", ""rain song"", ""glisten yellow"", ""natural tan"", ""nutmeg wood finish"", ""inspired lilac"", ""silver satin"", ""akaroa"", ""relaxing blue"", ""cinnamon tea""]"
"[""luscious"", ""april blush"", ""safety yellow"", ""archivist"", ""smoldering copper"", ""early morning mist"", ""mermaid harbor"", ""fandango pink"", ""iced copper"", ""finlandia"", ""vivid orchid"", ""napa"", ""mystic red"", ""custard cream"", ""supernova"", ""willpower orange"", ""desert beach"", ""greyish pink"", ""imperial blue"", ""natural bark""]"
"[""gentle violet"", ""garden flower"", ""rum"", ""cocoa sand"", ""stem green"", ""imperial palm"", ""blue green"", ""potentially purple"", ""corral brown"", ""silver clouds"", ""misty blush"", ""peach fuzz"", ""water drops"", ""haiti"", ""tropical smoothie"", ""dark sienna"", ""stratton blue"", ""violet dusk"", ""cayman lagoon"", ""husk""]"
"[""true taupewood"", ""pebble creek"", ""ice blue"", ""apple"", ""bracken blue"", ""silverstone"", ""barnyard grass"", ""randolph stone"", ""under the sea"", ""peche"", ""silken pine"", ""yorktowne green"", ""tile red"", ""kauai"", ""cozy cocoa"", ""cal poly pomona green"", ""atlantic tide"", ""certain peach"", ""grandview"", ""pink cloud""]"
"[""frontier brown"", ""aebleskiver"", ""delicate lace"", ""serene breeze"", ""compass blue"", ""blue ocean"", ""escarpment"", ""terrace teal"", ""french bistre"", ""cherry juice"", ""boxcar red"", ""spanish brown"", ""pinkish red"", ""friar grey"", ""melanzane"", ""woven jacquard"", ""romance"", ""wild mustang"", ""lavender mist"", ""maximum yellow""]"
"[""ocean swell"", ""fiji"", ""golden green"", ""gloucester green"", ""spiced cider"", ""dark coral"", ""australian jade"", ""tamarack gray"", ""black iron"", ""white water"", ""auburn"", ""cab sav"", ""red rock"", ""fresh praline"", ""pineapple"", ""meadowlands green"", ""ancient pewter"", ""pure pink"", ""star dust"", ""emerald coast""]"
"[""straightforward green"", ""tucker gray"", ""red hot"", ""nordic gray"", ""pine glade"", ""final straw"", ""cherry tomato"", ""passionate purple"", ""cumberland fog"", ""glossy grape"", ""firebrick"", ""soft fern"", ""scallion"", ""whispering wind"", ""mustard brown"", ""equator glow"", ""paper doll"", ""green herb"", ""dinner mint"", ""dull green""]"
"[""water tower"", ""summer heat"", ""shallot bulb"", ""biscayne shore"", ""pink proposal"", ""asbury sand"", ""melody"", ""central park"", ""mocha brown"", ""cedar path"", ""blue feather"", ""flower field"", ""blue moon bay"", ""sail grey"", ""bright orange"", ""swirling water"", ""oriental pink"", ""gentle sea"", ""tart orange"", ""citrus delight""]"
"[""hawaiian cinder"", ""autumnal"", ""terrace view"", ""classic berry"", ""silken moss"", ""white sapphire"", ""cayenne"", ""soft peach"", ""alpine air"", ""burley wood"", ""marble canyon"", ""intellectual"", ""restoration ivory"", ""azure"", ""urban mist"", ""sepia tan"", ""bayside"", ""berry"", ""light silver"", ""elephant pink""]"
"[""hazel woods"", ""wild wisteria"", ""sunset cloud"", ""sacramento state green"", ""thatch green"", ""petite orchid"", ""tropical splash"", ""yellow freeze"", ""sand brown"", ""vintage ribbon"", ""calming cream"", ""prairie green"", ""palm desert tan"", ""natural leather"", ""calico blue"", ""fireside"", ""windy pine"", ""goblin"", ""silver tree"", ""intoxication""]"
"[""dim gray"", ""blue moon"", ""flattering peach"", ""clarified orange"", ""light mint"", ""bright yellow green"", ""estate limestone"", ""palm desert"", ""prairie poppy"", ""desert plain"", ""gorgeous white"", ""sparkling apple"", ""hunter green"", ""creme fraiche"", ""healing aloe"", ""light pea green"", ""pink shadow"", ""dusky blue"", ""sorrell brown"", ""dark room""]"
"[""fresh pine"", ""aqua smoke"", ""pearl drops"", ""hidden forest"", ""lilac"", ""forceful orange"", ""parchment paper"", ""porter ranch cream"", ""sizzling sunset"", ""cantaloupe slice"", ""cool granite"", ""amber sun"", ""san marino"", ""rosedust"", ""frosty mint"", ""cuban tan"", ""carter gray"", ""comfort gray"", ""springtime green"", ""bonne nuit""]"
"[""bath salts"", ""bluebird"", ""shrimp cocktail"", ""greyish green"", ""monologue"", ""sunflower yellow"", ""celadon blue"", ""blueberry"", ""eon"", ""vermillion"", ""basic khaki"", ""mediterranean"", ""country redwood"", ""golden"", ""windsurf"", ""southern belle"", ""coastal cottage"", ""studio"", ""scrub"", ""korma""]"
"[""delicious melon"", ""amazon breeze"", ""coconut grove"", ""cliffside gray"", ""white feather"", ""girl talk"", ""vapor"", ""maui mist"", ""angelica"", ""goldenrod"", ""doeskin gray"", ""dirty orange"", ""roycroft copper red"", ""mossy oak"", ""dollar bill green"", ""nomadic desert"", ""silken blue"", ""venture violet"", ""warm cider"", ""dark electric blue""]"
"[""apple crisp"", ""greenish grey"", ""hazelnut cream"", ""peristyle brass"", ""flower girl"", ""plum frost"", ""desire"", ""american green"", ""clear water"", ""poised taupe"", ""vivid malachite"", ""jacaranda"", ""sweet honeydew melon"", ""ugly brown"", ""fantasy"", ""mined coal"", ""stargazer"", ""peach brandy"", ""cotton whisper"", ""pink cherub""]"
"[""tangerine fusion"", ""kalahari sunset"", ""acorn squash"", ""sparkling wine"", ""largo teal"", ""orange red"", ""comforting gray"", ""tidewater"", ""vellum parchment"", ""coral pink"", ""university of california gold"", ""mohegan sage"", ""greenhow moss"", ""sensual peach"", ""georgia on my mind"", ""windswept"", ""fortune"", ""arrowhead"", ""boho"", ""mystical purple""]"
"[""quarter spanish white"", ""bowstring"", ""mocha light"", ""sweet romance"", ""olivetint"", ""aged wine"", ""summer blue"", ""blackwood"", ""grant gray"", ""aplomb"", ""script ink"", ""cinnamon"", ""champagne grape"", ""budding leaf"", ""green brown"", ""volcanic island"", ""black squeeze"", ""primrose"", ""strawberry red"", ""east bay""]"
"[""crown point sand"", ""yellowy green"", ""rose accent"", ""dawn gray"", ""wild elderberry"", ""valley view"", ""olive branch"", ""california breeze"", ""fame orange"", ""smoky blue"", ""greenish tan"", ""downtown"", ""herbal"", ""doily"", ""fondue"", ""old claret"", ""dark maroon"", ""grandiose"", ""misty air"", ""festoon aqua""]"
"[""spice garden"", ""cupola yellow"", ""pumpkin spice"", ""millbrook"", ""bakery box"", ""old world romance"", ""meadow flower"", ""raspberry ice"", ""soaring sky"", ""high strung"", ""ribbon"", ""circus red"", ""light neon green"", ""antigua sunrise"", ""merlot red"", ""alamosa green"", ""magic wand"", ""cherry malt"", ""raucous orange"", ""arizona sunrise""]"
"[""limesicle"", ""dark shadows"", ""abracadabra"", ""light drizzle"", ""scribe"", ""pale yellow"", ""heart breaker"", ""cool aloe"", ""studio clay"", ""smoked tan"", ""leather"", ""maximum gray"", ""iced apricot"", ""blue gaspe"", ""stained glass"", ""filtered moon"", ""touch of class"", ""meditation time"", ""sea pink"", ""cupid arrow""]"
"[""land of liberty"", ""innuendo"", ""gargoyle"", ""blueblood"", ""arid plains"", ""sage gray"", ""lip gloss"", ""white opal"", ""midwinter mist"", ""bashful"", ""christine"", ""camel back"", ""walk me home"", ""yacht harbor"", ""tabasco"", ""brioche"", ""olive brown"", ""understated"", ""virtual violet"", ""honeywheat""]"
